page_id,text,category,label_source,doc_id
kade_007_p005,"Sonntag abend
Lieber Sohn!
       Habe Deinen Brief
erhalten, wolte auch gleich
Schreiben, ist aber nichts
geworden. Norman ist
rein gekommen, u. nun
will Er rauf gehen nach
Blums, denn Er ist wohl
einsam. Herman Lauers-
dorf ist im Hustisford
Hospital, seit letzten
Montag. Er hat Sinus,
u. ein Mastne. Irma
war Mitwoch hier, u. hat
gefragt ob Norman könnte
helfen Holz sägen, Nachmittag
Edie Ihr Bruder hat es
gesägt, Sie haben 3 cord
gekauft. Mitwoch Abend",kade_letters,human,kade_007
kade_007_p022,"Mitwoch Morgen
Lieber Sohn!
	Habe Deinen Brief jestern erhalten.
Hoffe das Du bis Heute gut Fühlst. Ich hab
auch wieder kalt, u. Norman auch ein
bischen, Wir können aber beide Arbeiten.
zieh Dich nach das Wetter an, den wenn
es so kalt u naß ist, sind die langen
Beine nicht warm genug mit die shorts.
Letzten Sonntag sind die beiden Kühe
Frischmelk geworden, Rose u. Blakie, auch
wird es kleine Schweine geben, doch
Albert u. Norman denken, die junge
kriegt nicht viele. Norman hat Sie jestern
	im Stall gebracht",kade_letters,human,kade_007
kade_007_p040,"4
Die junge Sau, hatte 7
kleine, aber eins hat Sie
Todt gedrückt, u. eins ist
klein. Nellie haben wir
auch verkauf, den Sie gab
nur sehr wenig Milch noch.
Norman wolte gerne Ich
solte Zastrow bezahlen für
die Windmühle. Es werden
diesen Freitag zwei Wochen
das Irma Operiert ist,
Sie soll ja zimlich gut
sein. Es war Schade das
Du Deinen Feder verloren
hast, Sie hat wohl Ihre
Dinste gethan, wilst Du dich
wieder solche teure kaufen?
Ruth hat Ihr zeug schon alles
auch die Haare sind schon fertig
Hoffe das Ich Sonntag gut Fühle
das wir nach Kirche können",kade_letters,human,kade_007
kade_007_p062,"Freitag Morgen
Lieber Sohn!
	Zuerst danke
Ich Dir vielmals, für
die Karte, es hat mich
sehr gefreut. Die andern
Kinder waren alle
hier, Hilbert u. Lorina
waren bei Tag bei Bosins
u. so war es schon 20 Mi.
nach 9 wie Sie kamen
Edna war zu Mittag
hier, u. Edgar die kamen
um 7 Ich war schon
fertig mit Melken,
die kleinen haben den
Stickhusten, der Dr. hat
ein Zein1 angemacht,
So können Sie nicht
zur Schule gehn.",kade_letters,human,kade_007
dominy_001_p002,"Sag Harbor Jany 17 1834
Majr Dominy
Dr Sir I send pr
Mr Seay a gold watch be so good
as to put in good order and
keep it till it till is regulated
Should the expence be much inform
me before you do it and be
so good as to let me know what
is the matter with it, and whether
the screw pinion does it any injury
should like to have the watch as soon
as it is #### put in good order
Respectfully
Geo. B Brown",dominy_accounts,silver_claude,dominy_001
dominy_001_p003,"Majr F Dominy
E Hampton
with a watch",dominy_accounts,silver_claude,dominy_001
dominy_008_p002,"Mr Nathaniel Dominy To J H Youngs Dr
1857
May 29 ironing a fish cart 6 50
8 sett 4 pair shews a whiffle hook &c 1 00
30 setting tire on fish cart wheels
80 pounds at 6 cts two dollars for setting 6 80
June 1 3/4 of a pound nails 10
6 bands &c on cart tung 62
17 found & sett a shew 13
July 10 2 sett a pair shews 22
14 2 12 hinges for stage sett a pair shews &c 1 57
17 2 long braces 2 plats & clipses for stage 75
20 6 sett 3 pair shews one new pair 1 00
24 ironing a sett of whiffle trees 75
5 2 screw bolts for stage 25
Aug 13 30 copper nails a plate for sneath 25
14 4 sett 2 pair shews new shews 1 12
1 sett a new shew 28
24 4 sett 2 pair shews one new pair fixt the others 81
25 2 sett a pair new shews 56
Sep 1 1 sett a new shew 28
ironing fish cart for Nathan Sweezy 12 00
21 spliceing an auger 9
ironing a coff stand 1 25
29 2 sett a pair shews one new one toed the other 45
Oct 6 working a copper bolt in to copper nails 50
18 a sett of staples & hog iron plats band &c for a sett of side boards 1 75
21 6 sett 3 shews one new one put nails in others &c 56
a pair hings nails &c 4 pounds at 10 cts 40
38 amount caried over 39 91",dominy_accounts,silver_claude,dominy_008
dominy_010_p002,"New York July 7th 1831 -
Mr Downing
Bot - of A Mathey
2 ½ Dozen watch Glasses - 4/- $1,25
,,25
1 Watch Dail - ,,25
1 Center pinion - $1,75
Received payment Aimé Mathey
81 Chatham st N Y
If the pinion is not of right size you will
please send it back and I will give you
the size you want
A M",dominy_accounts,silver_claude,dominy_010
survey_001_p0025,"Township 41 North, Range 1
Chains North Random between
Sections 4 and 5
Variation 7° East
79.90 Intersect North Boundary
85 links East of post.
South corrected between
Sections 4 and 5
Variation 7° 36' East
39.90 Set quarter Section post
Spruce 6 S 33 E 28 links
Spruce 7 N 45 W 46 links
79.90 Section corner
Surface Level
Soil unfit for Cultivation,
Timber Spruce
July 16th, 1858
Compared measuring
chain with standard
and found it in
adjustment
West of 4th Principal Meridian
Chains North between Sections
31 and 32
Variation 7° East
40.00 Set quarter Section post.
Sugar 8 N 60 E 75 links
Birch 17 S 53 W 47 links
45.00 Enter Tamarac Swamp
bears N E.
60.00 Leave Same bears S W.
Unfit for Cultivation
80.00 Set post corner to
Sections 29. 30. 31. and 32.
Hemlock 10 S 25½ W 60 links
Birch 30 N 40 E 25 links
Surface Level
Soil 3d Rate
Timber Hemlock Birch
Sugar & Elm.
Undergrowth Hazle",survey_notes,silver_claude,survey_001
survey_001_p0028,"Township 41 North Range 1
Chains West Random between
Sections 19 and 30
Variation 7° 30' East
82.75 Intersect Range line 20
links North of post
East corrected between
Sections 19 & 30
Variation 7° 38' East
42.75 Set quarter Section post
Sugar 18 N 16 E 25 lks
Birch 10 S 70 W 45 links
82.75 Section corner
Surface Rolling
Soil 2d Rate
Timber Hemlock Sugar &
Birch
Undergrowth Hazle.
West of 4th Principal Meridian
Chains North between Sections
19 and 20
Variation 7° East
40.00 Set quarter Section post
Ironwood 6 N 17 E 25 lks.
Sugar 8 S 56 W 10 links
80.00 Set post corner to Sections
17. 18. 19 & 20
Birch 8 N 65 W 8 links
Lind 7 S 63 E 30 links
Surface Rolling
Soil 2d Rate
Timber Hemlock Sugar
Birch & Lind
Undergrowth Hazle.",survey_notes,silver_claude,survey_001
